Timestamp,Actor,Role,Action,Object_Instance,Object_Type,Topic,Course_ID
2015-10-06 12:36,128,student,view,5,video,Topic 5,curso1,
2015-10-06 07:18,128,student,view,5,blog,Topic 5,curso1,
2015-10-06 20:03,128,student,view,5,wiki,Topic 5,curso1,
2015-10-06 09:56,128,student,view,5,link,Topic 5,curso1,
2015-10-06 21:13,128,student,view,5,video,Topic 5,curso1,
2015-10-06 03:04,128,student,view,5,blog,Topic 5,curso1,
2015-10-06 15:28,128,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 17:47,128,student,view,5,video,Topic 5,curso1,
2015-10-06 01:23,128,student,view,5,blog,Topic 5,curso1,
2015-10-06 22:01,128,student,view,5,video,Topic 5,curso1,
2015-10-06 20:16,129,student,view,5,blog,Topic 5,curso1,
2015-10-06 02:22,129,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 11:01,129,student,view,5,wiki,Topic 5,curso1,
2015-10-06 10:59,129,student,view,5,video,Topic 5,curso1,
2015-10-06 11:09,129,student,view,5,blog,Topic 5,curso1,
2015-10-06 21:11,129,student,view,5,wiki,Topic 5,curso1,
2015-10-06 04:38,129,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 03:39,129,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 19:26,129,student,view,5,wiki,Topic 5,curso1,
2015-10-06 17:06,129,student,view,5,video,Topic 5,curso1,
2015-10-06 04:05,129,student,view,5,blog,Topic 5,curso1,
2015-10-06 08:14,129,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 06:30,129,student,view,5,wiki,Topic 5,curso1,
2015-10-06 17:37,129,student,view,5,link,Topic 5,curso1,
2015-10-06 11:36,129,student,view,5,video,Topic 5,curso1,
2015-10-06 15:33,129,student,view,5,blog,Topic 5,curso1,
2015-10-06 03:52,129,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 00:32,129,student,view,5,wiki,Topic 5,curso1,
2015-10-06 02:43,129,student,view,5,video,Topic 5,curso1,
2015-10-06 22:15,129,student,view,5,blog,Topic 5,curso1,
2015-10-06 24:09,129,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 09:09,129,student,view,5,wiki,Topic 5,curso1,
2015-10-06 17:06,129,student,view,5,link,Topic 5,curso1,
2015-10-06 13:10,129,student,view,5,video,Topic 5,curso1,
2015-10-06 02:38,129,student,view,5,blog,Topic 5,curso1,
2015-10-06 10:07,129,student,view,5,wiki,Topic 5,curso1,
2015-10-06 05:31,129,student,view,5,video,Topic 5,curso1,
2015-10-06 13:00,129,student,view,5,wiki,Topic 5,curso1,
2015-10-06 14:55,129,student,view,5,link,Topic 5,curso1,
2015-10-06 13:21,129,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 17:13,129,student,view,5,link,Topic 5,curso1,
2015-10-06 00:48,129,student,view,5,video,Topic 5,curso1,
2015-10-06 13:23,129,student,view,5,blog,Topic 5,curso1,
2015-10-06 22:08,129,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 13:16,129,student,view,5,wiki,Topic 5,curso1,
2015-10-06 00:33,129,student,view,5,link,Topic 5,curso1,
2015-10-06 18:03,129,student,view,5,video,Topic 5,curso1,
2015-10-06 01:55,129,student,view,5,wiki,Topic 5,curso1,
2015-10-06 16:51,129,student,view,5,link,Topic 5,curso1,
2015-10-06 23:59,129,student,view,5,video,Topic 5,curso1,
2015-10-06 24:48,130,student,view,5,blog,Topic 5,curso1,
2015-10-06 09:28,130,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 08:33,130,student,view,5,wiki,Topic 5,curso1,
2015-10-06 17:00,130,student,view,5,blog,Topic 5,curso1,
2015-10-06 03:26,130,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 18:07,130,student,view,5,wiki,Topic 5,curso1,
2015-10-06 20:29,130,student,view,5,link,Topic 5,curso1,
2015-10-06 16:04,130,student,view,5,video,Topic 5,curso1,
2015-10-06 23:50,130,student,view,5,blog,Topic 5,curso1,
2015-10-06 13:17,130,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 04:28,130,student,view,5,wiki,Topic 5,curso1,
2015-10-06 18:17,130,student,view,5,link,Topic 5,curso1,
2015-10-06 13:43,130,student,view,5,video,Topic 5,curso1,
2015-10-06 12:45,130,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 23:39,130,student,view,5,wiki,Topic 5,curso1,
2015-10-06 20:41,130,student,view,5,link,Topic 5,curso1,
2015-10-06 22:29,130,student,view,5,video,Topic 5,curso1,
2015-10-06 20:40,130,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 03:27,130,student,view,5,wiki,Topic 5,curso1,
2015-10-06 23:12,130,student,view,5,video,Topic 5,curso1,
2015-10-06 13:02,130,student,view,5,blog,Topic 5,curso1,
2015-10-06 08:51,130,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 01:04,130,student,view,5,wiki,Topic 5,curso1,
2015-10-06 17:25,130,student,view,5,link,Topic 5,curso1,
2015-10-06 03:37,130,student,view,5,video,Topic 5,curso1,
2015-10-06 01:10,130,student,view,5,wiki,Topic 5,curso1,
2015-10-06 09:27,130,student,view,5,link,Topic 5,curso1,
2015-10-06 02:16,130,student,view,5,blog,Topic 5,curso1,
2015-10-06 10:41,130,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 05:52,130,student,view,5,link,Topic 5,curso1,
2015-10-06 04:03,130,student,view,5,video,Topic 5,curso1,
2015-10-06 15:57,131,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 05:39,131,student,view,5,wiki,Topic 5,curso1,
2015-10-06 16:08,131,student,view,5,link,Topic 5,curso1,
2015-10-06 04:23,131,student,view,5,video,Topic 5,curso1,
2015-10-06 15:59,131,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 06:02,131,student,view,5,link,Topic 5,curso1,
2015-10-06 01:10,131,student,view,5,blog,Topic 5,curso1,
2015-10-06 03:43,131,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 23:17,131,student,view,5,wiki,Topic 5,curso1,
2015-10-06 19:47,131,student,view,5,quiz,Topic 5,curso1,
2015-10-06 14:58,131,student,view,5,book,Topic 5,curso1,
2015-10-06 22:04,131,student,view,5,link,Topic 5,curso1,
2015-10-06 06:01,131,student,view,5,link,Topic 5,curso1,
2015-10-06 06:31,131,student,view,5,video,Topic 5,curso1,
2015-10-06 02:41,131,student,view,5,blog,Topic 5,curso1,
2015-10-06 20:30,131,student,view,5,wiki,Topic 5,curso1,
2015-10-06 22:27,131,student,view,5,link,Topic 5,curso1,
2015-10-06 03:22,131,student,view,5,video,Topic 5,curso1,
2015-10-06 06:52,131,student,view,5,blog,Topic 5,curso1,
2015-10-06 21:44,131,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 18:49,131,student,view,5,book,Topic 5,curso1,
2015-10-06 10:51,131,student,view,5,wiki,Topic 5,curso1,
2015-10-06 12:50,131,student,view,5,video,Topic 5,curso1,
2015-10-06 21:17,131,student,view,5,blog,Topic 5,curso1,
2015-10-06 01:00,131,student,view,5,wiki,Topic 5,curso1,
2015-10-06 03:08,131,student,view,5,link,Topic 5,curso1,
2015-10-06 14:55,131,student,view,5,video,Topic 5,curso1,
2015-10-06 13:57,131,student,view,5,blog,Topic 5,curso1,
2015-10-06 19:41,131,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 20:34,131,student,view,5,wiki,Topic 5,curso1,
2015-10-06 13:21,131,student,view,5,video,Topic 5,curso1,
2015-10-06 21:43,131,student,view,5,blog,Topic 5,curso1,
2015-10-06 10:46,131,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 20:57,131,student,view,5,wiki,Topic 5,curso1,
2015-10-06 13:17,131,student,view,5,link,Topic 5,curso1,
2015-10-06 00:28,131,student,view,5,video,Topic 5,curso1,
2015-10-06 09:21,132,student,view,5,blog,Topic 5,curso1,
2015-10-06 18:27,132,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 15:20,132,student,view,5,wiki,Topic 5,curso1,
2015-10-06 13:48,132,student,view,5,link,Topic 5,curso1,
2015-10-06 22:40,132,student,view,5,video,Topic 5,curso1,
2015-10-06 17:52,132,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 08:42,132,student,view,5,wiki,Topic 5,curso1,
2015-10-06 22:53,132,student,view,5,video,Topic 5,curso1,
2015-10-06 22:15,132,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 01:16,132,student,view,5,link,Topic 5,curso1,
2015-10-06 00:17,132,student,view,5,wiki,Topic 5,curso1,
2015-10-06 08:03,132,student,view,5,blog,Topic 5,curso1,
2015-10-06 18:06,132,student,view,5,wiki,Topic 5,curso1,
2015-10-06 05:50,132,student,view,5,link,Topic 5,curso1,
2015-10-06 06:12,132,student,view,5,video,Topic 5,curso1,
2015-10-06 00:03,132,student,view,5,blog,Topic 5,curso1,
2015-10-06 15:33,132,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 24:41,132,student,view,5,wiki,Topic 5,curso1,
2015-10-06 13:04,132,student,view,5,video,Topic 5,curso1,
2015-10-06 05:48,133,student,view,5,blog,Topic 5,curso1,
2015-10-06 23:50,133,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 02:56,133,student,view,5,wiki,Topic 5,curso1,
2015-10-06 08:38,133,student,view,5,link,Topic 5,curso1,
2015-10-06 23:40,133,student,view,5,video,Topic 5,curso1,
2015-10-06 14:45,134,student,view,5,blog,Topic 5,curso1,
2015-10-06 00:15,134,student,view,5,wiki,Topic 5,curso1,
2015-10-06 22:30,134,student,view,5,link,Topic 5,curso1,
2015-10-06 20:32,134,student,view,5,wiki,Topic 5,curso1,
2015-10-06 15:27,134,student,view,5,link,Topic 5,curso1,
2015-10-06 11:45,134,student,view,5,video,Topic 5,curso1,
2015-10-06 01:23,134,student,view,5,blog,Topic 5,curso1,
2015-10-06 01:02,134,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 15:42,134,student,view,5,wiki,Topic 5,curso1,
2015-10-06 11:35,134,student,view,5,link,Topic 5,curso1,
2015-10-06 09:55,134,student,view,5,video,Topic 5,curso1,
2015-10-06 13:50,134,student,view,5,blog,Topic 5,curso1,
2015-10-06 11:09,134,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 11:23,134,student,view,5,wiki,Topic 5,curso1,
2015-10-06 02:21,134,student,view,5,link,Topic 5,curso1,
2015-10-06 23:08,134,student,view,5,video,Topic 5,curso1,
2015-10-06 13:36,135,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 10:06,135,student,view,5,quiz,Topic 5,curso1,
2015-10-06 18:09,135,student,view,5,link,Topic 5,curso1,
2015-10-06 17:18,135,student,view,5,wiki,Topic 5,curso1,
2015-10-06 09:25,135,student,view,5,link,Topic 5,curso1,
2015-10-06 08:09,135,student,view,5,video,Topic 5,curso1,
2015-10-06 10:40,135,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 17:01,135,student,view,5,wiki,Topic 5,curso1,
2015-10-06 09:30,135,student,view,5,link,Topic 5,curso1,
2015-10-06 08:07,135,student,view,5,book,Topic 5,curso1,
2015-10-06 22:37,135,student,view,5,link,Topic 5,curso1,
2015-10-06 02:06,135,student,view,5,blog,Topic 5,curso1,
2015-10-06 04:20,135,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 21:29,135,student,view,5,wiki,Topic 5,curso1,
2015-10-06 10:45,135,student,view,5,link,Topic 5,curso1,
2015-10-06 17:33,135,student,view,5,video,Topic 5,curso1,
2015-10-06 19:45,135,student,view,5,blog,Topic 5,curso1,
2015-10-06 10:60,135,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 21:43,135,student,view,5,wiki,Topic 5,curso1,
2015-10-06 10:01,135,student,view,5,link,Topic 5,curso1,
2015-10-06 08:12,135,student,view,5,video,Topic 5,curso1,
2015-10-06 17:28,136,student,view,5,blog,Topic 5,curso1,
2015-10-06 03:52,136,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 09:28,136,student,view,5,wiki,Topic 5,curso1,
2015-10-06 08:60,136,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 23:01,136,student,view,5,book,Topic 5,curso1,
2015-10-06 15:50,136,student,view,5,link,Topic 5,curso1,
2015-10-06 24:18,136,student,view,5,video,Topic 5,curso1,
2015-10-06 03:34,136,student,view,5,blog,Topic 5,curso1,
2015-10-06 09:40,136,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 16:43,136,student,view,5,link,Topic 5,curso1,
2015-10-06 07:05,136,student,view,5,video,Topic 5,curso1,
2015-10-06 02:28,136,student,view,5,blog,Topic 5,curso1,
2015-10-06 24:26,136,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 04:43,136,student,view,5,wiki,Topic 5,curso1,
2015-10-06 13:09,136,student,view,5,link,Topic 5,curso1,
2015-10-06 21:30,136,student,view,5,video,Topic 5,curso1,
2015-10-06 20:19,136,student,view,5,blog,Topic 5,curso1,
2015-10-06 07:46,136,student,view,5,link,Topic 5,curso1,
2015-10-06 15:57,136,student,view,5,video,Topic 5,curso1,
2015-10-06 22:51,136,student,view,5,LTI,Topic 5,curso1,
2015-10-06 18:22,136,student,view,5,book,Topic 5,curso1,
2015-10-06 12:25,136,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 17:14,136,student,view,5,wiki,Topic 5,curso1,
2015-10-06 16:27,136,student,view,5,link,Topic 5,curso1,
2015-10-06 07:26,136,student,view,5,video,Topic 5,curso1,
2015-10-06 24:19,136,student,view,5,blog,Topic 5,curso1,
2015-10-06 00:23,136,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 02:52,136,student,view,5,wiki,Topic 5,curso1,
2015-10-06 22:60,136,student,view,5,video,Topic 5,curso1,
2015-10-06 09:39,136,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 17:60,136,student,view,5,wiki,Topic 5,curso1,
2015-10-06 07:56,136,student,view,5,link,Topic 5,curso1,
2015-10-06 15:59,136,student,view,5,video,Topic 5,curso1,
2015-10-06 06:26,136,student,view,5,blog,Topic 5,curso1,
2015-10-06 04:15,136,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 14:38,136,student,view,5,wiki,Topic 5,curso1,
2015-10-06 03:59,136,student,view,5,link,Topic 5,curso1,
2015-10-06 15:60,136,student,view,5,video,Topic 5,curso1,
2015-10-06 05:11,136,student,view,5,blog,Topic 5,curso1,
2015-10-06 24:44,136,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 19:39,136,student,view,5,wiki,Topic 5,curso1,
2015-10-06 09:35,136,student,view,5,link,Topic 5,curso1,
2015-10-06 12:42,136,student,view,5,video,Topic 5,curso1,
2015-10-06 18:13,136,student,view,5,blog,Topic 5,curso1,
2015-10-06 17:17,136,student,view,5,wiki,Topic 5,curso1,
2015-10-06 16:43,136,student,view,5,link,Topic 5,curso1,
2015-10-06 19:00,136,student,view,5,video,Topic 5,curso1,
2015-10-06 02:11,137,student,view,5,blog,Topic 5,curso1,
2015-10-06 12:20,137,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 00:06,137,student,view,5,wiki,Topic 5,curso1,
2015-10-06 10:24,137,student,view,5,link,Topic 5,curso1,
2015-10-06 01:44,137,student,view,5,video,Topic 5,curso1,
2015-10-06 00:20,137,student,view,5,blog,Topic 5,curso1,
2015-10-06 03:49,137,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 05:37,137,student,view,5,wiki,Topic 5,curso1,
2015-10-06 17:08,137,student,view,5,link,Topic 5,curso1,
2015-10-06 02:24,137,student,view,5,video,Topic 5,curso1,
2015-10-06 07:47,137,student,view,5,blog,Topic 5,curso1,
2015-10-06 15:10,137,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 09:43,137,student,view,5,wiki,Topic 5,curso1,
2015-10-06 04:57,137,student,view,5,link,Topic 5,curso1,
2015-10-06 12:35,137,student,view,5,blog,Topic 5,curso1,
2015-10-06 23:18,137,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 08:41,137,student,view,5,wiki,Topic 5,curso1,
2015-10-06 01:48,137,student,view,5,link,Topic 5,curso1,
2015-10-06 00:05,137,student,view,5,video,Topic 5,curso1,
2015-10-06 21:12,137,student,view,5,blog,Topic 5,curso1,
2015-10-06 24:33,137,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 18:29,137,student,view,5,link,Topic 5,curso1,
2015-10-06 19:09,137,student,view,5,blog,Topic 5,curso1,
2015-10-06 09:59,137,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 18:43,137,student,view,5,wiki,Topic 5,curso1,
2015-10-06 04:15,137,student,view,5,link,Topic 5,curso1,
2015-10-06 16:10,137,student,view,5,video,Topic 5,curso1,
2015-10-06 06:05,138,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 00:22,138,student,view,5,wiki,Topic 5,curso1,
2015-10-06 15:19,138,student,view,5,link,Topic 5,curso1,
2015-10-06 05:54,138,student,view,5,video,Topic 5,curso1,
2015-10-06 16:04,138,student,view,5,blog,Topic 5,curso1,
2015-10-06 01:05,138,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 23:43,138,student,view,5,wiki,Topic 5,curso1,
2015-10-06 04:17,138,student,view,5,link,Topic 5,curso1,
2015-10-06 12:15,138,student,view,5,video,Topic 5,curso1,
2015-10-06 23:24,138,student,view,5,blog,Topic 5,curso1,
2015-10-06 09:05,138,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 00:01,138,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 09:20,138,student,view,5,wiki,Topic 5,curso1,
2015-10-06 03:18,138,student,view,5,book,Topic 5,curso1,
2015-10-06 17:26,138,student,view,5,video,Topic 5,curso1,
2015-10-06 21:57,138,student,view,5,blog,Topic 5,curso1,
2015-10-06 19:44,138,student,view,5,wiki,Topic 5,curso1,
2015-10-06 09:13,138,student,view,5,link,Topic 5,curso1,
2015-10-06 19:40,138,student,view,5,video,Topic 5,curso1,
2015-10-06 09:48,138,student,view,5,blog,Topic 5,curso1,
2015-10-06 23:48,138,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 04:10,138,student,view,5,wiki,Topic 5,curso1,
2015-10-06 02:23,138,student,view,5,link,Topic 5,curso1,
2015-10-06 09:40,138,student,view,5,video,Topic 5,curso1,
2015-10-06 19:27,138,student,view,5,blog,Topic 5,curso1,
2015-10-06 00:56,138,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 04:49,138,student,view,5,wiki,Topic 5,curso1,
2015-10-06 13:38,138,student,view,5,link,Topic 5,curso1,
2015-10-06 07:16,138,student,view,5,video,Topic 5,curso1,
2015-10-06 22:49,139,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 16:31,139,student,view,5,wiki,Topic 5,curso1,
2015-10-06 10:34,139,student,view,5,video,Topic 5,curso1,
2015-10-06 02:49,139,student,view,5,blog,Topic 5,curso1,
2015-10-06 00:43,139,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 20:13,139,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 20:46,139,student,view,5,quiz,Topic 5,curso1,
2015-10-06 18:54,139,student,view,5,link,Topic 5,curso1,
2015-10-06 10:26,139,student,view,5,video,Topic 5,curso1,
2015-10-06 03:04,139,student,view,5,blog,Topic 5,curso1,
2015-10-06 10:12,139,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 18:33,139,student,view,5,wiki,Topic 5,curso1,
2015-10-06 05:50,139,student,view,5,link,Topic 5,curso1,
2015-10-06 14:04,139,student,view,5,video,Topic 5,curso1,
2015-10-06 12:28,139,student,view,5,wiki,Topic 5,curso1,
2015-10-06 08:45,139,student,post,5,forum,Topic 5,curso1,
2015-10-06 03:36,139,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 21:37,139,student,view,5,wiki,Topic 5,curso1,
2015-10-06 13:07,139,student,view,5,link,Topic 5,curso1,
2015-10-06 13:05,139,student,view,5,video,Topic 5,curso1,
2015-10-06 11:51,139,student,view,5,blog,Topic 5,curso1,
2015-10-06 14:54,139,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 13:34,139,student,view,5,link,Topic 5,curso1,
2015-10-06 22:35,139,student,view,5,video,Topic 5,curso1,
2015-10-06 12:46,140,student,view,5,blog,Topic 5,curso1,
2015-10-06 06:27,140,student,view,5,link,Topic 5,curso1,
2015-10-06 13:51,140,student,view,5,video,Topic 5,curso1,
2015-10-06 02:54,140,student,view,5,blog,Topic 5,curso1,
2015-10-06 23:29,140,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 06:44,140,student,view,5,wiki,Topic 5,curso1,
2015-10-06 18:44,140,student,view,5,link,Topic 5,curso1,
2015-10-06 13:55,140,student,view,5,blog,Topic 5,curso1,
2015-10-06 22:41,140,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 10:47,140,student,view,5,wiki,Topic 5,curso1,
2015-10-06 04:55,140,student,view,5,link,Topic 5,curso1,
2015-10-06 24:35,140,student,view,5,video,Topic 5,curso1,
2015-10-06 07:21,140,student,view,5,blog,Topic 5,curso1,
2015-10-06 01:60,140,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 09:28,140,student,view,5,wiki,Topic 5,curso1,
2015-10-06 22:40,140,student,view,5,link,Topic 5,curso1,
2015-10-06 13:21,140,student,view,5,video,Topic 5,curso1,
2015-10-06 20:07,140,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 04:41,140,student,view,5,wiki,Topic 5,curso1,
2015-10-06 03:05,140,student,view,5,video,Topic 5,curso1,
2015-10-06 09:20,140,student,view,5,blog,Topic 5,curso1,
2015-10-06 08:30,140,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 12:24,140,student,view,5,wiki,Topic 5,curso1,
2015-10-06 20:34,140,student,view,5,link,Topic 5,curso1,
2015-10-06 19:10,140,student,view,5,video,Topic 5,curso1,
2015-10-06 14:41,140,student,view,5,blog,Topic 5,curso1,
2015-10-06 11:59,140,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 07:17,140,student,view,5,wiki,Topic 5,curso1,
2015-10-06 10:58,140,student,view,5,link,Topic 5,curso1,
2015-10-06 12:41,140,student,view,5,video,Topic 5,curso1,
2015-10-06 21:32,141,student,view,5,blog,Topic 5,curso1,
2015-10-06 12:47,141,student,view,5,video,Topic 5,curso1,
2015-10-06 16:21,141,student,view,5,wiki,Topic 5,curso1,
2015-10-06 03:11,141,student,view,5,link,Topic 5,curso1,
2015-10-06 06:51,141,student,view,5,video,Topic 5,curso1,
2015-10-06 14:17,141,student,view,5,blog,Topic 5,curso1,
2015-10-06 09:17,141,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 05:07,141,student,view,5,wiki,Topic 5,curso1,
2015-10-06 02:13,141,student,view,5,link,Topic 5,curso1,
2015-10-06 16:51,141,student,view,5,video,Topic 5,curso1,
2015-10-06 01:50,141,student,view,5,blog,Topic 5,curso1,
2015-10-06 07:34,141,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 04:04,141,student,view,5,wiki,Topic 5,curso1,
2015-10-06 00:56,141,student,view,5,video,Topic 5,curso1,
2015-10-06 13:21,141,student,view,5,blog,Topic 5,curso1,
2015-10-06 09:35,141,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 11:01,141,student,view,5,wiki,Topic 5,curso1,
2015-10-06 13:52,141,student,view,5,link,Topic 5,curso1,
2015-10-06 14:53,141,student,view,5,video,Topic 5,curso1,
2015-10-06 09:24,141,student,view,5,blog,Topic 5,curso1,
2015-10-06 15:12,141,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 15:17,141,student,view,5,wiki,Topic 5,curso1,
2015-10-06 23:01,141,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 01:52,141,student,view,5,link,Topic 5,curso1,
2015-10-06 13:04,141,student,view,5,video,Topic 5,curso1,
2015-10-06 06:30,141,student,view,5,blog,Topic 5,curso1,
2015-10-06 09:29,141,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 10:58,141,student,view,5,link,Topic 5,curso1,
2015-10-06 20:59,141,student,view,5,video,Topic 5,curso1,
2015-10-06 09:29,141,student,view,5,blog,Topic 5,curso1,
2015-10-06 04:31,141,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 14:55,141,student,view,5,video,Topic 5,curso1,
2015-10-06 14:42,142,student,view,5,blog,Topic 5,curso1,
2015-10-06 10:23,142,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 07:20,142,student,view,5,wiki,Topic 5,curso1,
2015-10-06 16:36,142,student,view,5,video,Topic 5,curso1,
2015-10-06 23:54,143,student,view,5,blog,Topic 5,curso1,
2015-10-06 21:21,143,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 16:04,143,student,view,5,wiki,Topic 5,curso1,
2015-10-06 07:15,143,student,view,5,video,Topic 5,curso1,
2015-10-06 05:10,143,student,view,5,blog,Topic 5,curso1,
2015-10-06 11:48,143,student,view,5,wiki,Topic 5,curso1,
2015-10-06 20:26,143,student,view,5,video,Topic 5,curso1,
2015-10-06 18:54,143,student,view,5,blog,Topic 5,curso1,
2015-10-06 15:59,143,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 00:20,143,student,view,5,link,Topic 5,curso1,
2015-10-06 05:29,143,student,view,5,video,Topic 5,curso1,
2015-10-06 23:12,143,student,view,5,blog,Topic 5,curso1,
2015-10-06 10:50,143,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 11:56,143,student,view,5,wiki,Topic 5,curso1,
2015-10-06 13:40,143,student,view,5,link,Topic 5,curso1,
2015-10-06 17:42,143,student,view,5,video,Topic 5,curso1,
2015-10-06 09:29,143,student,view,5,blog,Topic 5,curso1,
2015-10-06 03:30,143,student,view,5,wiki,Topic 5,curso1,
2015-10-06 24:56,143,student,view,5,link,Topic 5,curso1,
2015-10-06 14:45,143,student,view,5,blog,Topic 5,curso1,
2015-10-06 05:34,143,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 02:46,143,student,view,5,wiki,Topic 5,curso1,
2015-10-06 24:07,143,student,view,5,link,Topic 5,curso1,
2015-10-06 21:26,143,student,view,5,video,Topic 5,curso1,
2015-10-06 09:53,143,student,view,5,blog,Topic 5,curso1,
2015-10-06 06:53,143,student,view,5,wiki,Topic 5,curso1,
2015-10-06 14:46,143,student,view,5,link,Topic 5,curso1,
2015-10-06 01:51,143,student,view,5,video,Topic 5,curso1,
2015-10-06 04:51,143,student,view,5,forum,Topic 5,curso1,
2015-10-06 24:43,143,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 04:08,143,student,view,5,wiki,Topic 5,curso1,
2015-10-06 12:44,143,student,view,5,link,Topic 5,curso1,
2015-10-06 11:22,143,student,view,5,video,Topic 5,curso1,
2015-10-06 11:48,143,student,view,5,blog,Topic 5,curso1,
2015-10-06 10:60,143,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 07:37,143,student,view,5,link,Topic 5,curso1,
2015-10-06 18:10,143,student,view,5,video,Topic 5,curso1,
2015-10-06 10:36,144,student,view,5,blog,Topic 5,curso1,
2015-10-06 13:33,144,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 13:51,144,student,view,5,video,Topic 5,curso1,
2015-10-06 10:08,144,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 20:42,144,student,view,5,wiki,Topic 5,curso1,
2015-10-06 15:52,144,student,view,5,link,Topic 5,curso1,
2015-10-06 18:42,144,student,view,5,video,Topic 5,curso1,
2015-10-06 12:13,144,student,view,5,video,Topic 5,curso1,
2015-10-06 04:59,146,student,view,5,blog,Topic 5,curso1,
2015-10-06 15:55,146,student,submit,5,assessment,Topic 5,curso1,
2015-10-06 23:21,146,student,view,5,wiki,Topic 5,curso1,
2015-10-06 19:53,146,student,view,5,link,Topic 5,curso1,
